year,state,population,admin,handgun,long_gun,month,multiple,other,permit,totals,city,killed,injured
2013,Ohio,11567845.0,0.0,49243.0,29034.0,1,1923.0,1625.0,0.0,83996.0,Springfield,1,3
2013,Oklahoma,3849840.0,0.0,12481.0,17046.0,11,929.0,769.0,0.0,35876.0,Tulsa,4,1
2013,Oklahoma,3849840.0,0.0,9902.0,11757.0,10,823.0,536.0,0.0,27268.0,Tulsa,0,5
2013,Oklahoma,3849840.0,0.0,11047.0,10731.0,8,803.0,469.0,0.0,26282.0,Oklahoma City,4,0
2013,Oklahoma,3849840.0,0.0,10138.0,7996.0,7,715.0,473.0,0.0,22622.0,Oklahoma City,1,3
2013,Oklahoma,3849840.0,0.0,20619.0,15693.0,2,1343.0,673.0,0.0,43984.0,Tulsa,1,3
2013,Oklahoma,3849840.0,0.0,24793.0,17756.0,1,1243.0,922.0,0.0,48246.0,Tulsa,4,0
2013,Pennsylvania,12778450.0,6.0,25.0,70428.0,11,0.0,184.0,18342.0,88985.0,Philadelphia,0,4
2013,Pennsylvania,12778450.0,5.0,16.0,58745.0,10,0.0,186.0,20253.0,79205.0,Pittsburgh (Homewood),2,5
2013,Pennsylvania,12778450.0,5.0,16.0,58745.0,10,0.0,186.0,20253.0,79205.0,Harrisburg,0,8
2013,Pennsylvania,12778450.0,5.0,16.0,58745.0,10,0.0,186.0,20253.0,79205.0,Philadelphia,1,5
2013,Pennsylvania,12778450.0,0.0,29.0,52638.0,8,0.0,170.0,17850.0,70687.0,Philadelphia,0,4
2013,Pennsylvania,12778450.0,0.0,29.0,52638.0,8,0.0,170.0,17850.0,70687.0,Saylorsburg,3,4
2013,Pennsylvania,12778450.0,1.0,20.0,45518.0,6,0.0,266.0,16187.0,61992.0,York,0,4
2013,Pennsylvania,12778450.0,1.0,20.0,49732.0,5,0.0,265.0,20864.0,70882.0,Philadelphia,0,4
2013,Pennsylvania,12778450.0,1.0,20.0,49732.0,5,0.0,265.0,20864.0,70882.0,Philadelphia,0,4
2013,Pennsylvania,12778450.0,1.0,20.0,49732.0,5,0.0,265.0,20864.0,70882.0,Johnstown,0,4
2013,Pennsylvania,12778450.0,0.0,22.0,64416.0,4,0.0,339.0,26218.0,90995.0,Chester,1,3
2013,Pennsylvania,12778450.0,0.0,22.0,64416.0,4,0.0,339.0,26218.0,90995.0,Philadelphia,1,3
2013,Pennsylvania,12778450.0,0.0,61.0,93619.0,1,0.0,304.0,41617.0,135603.0,Mckeesport,0,4
2013,Rhode Island,1052784.0,0.0,868.0,657.0,6,125.0,44.0,0.0,1697.0,Providence,0,4
2013,Rhode Island,1052784.0,0.0,868.0,657.0,6,125.0,44.0,0.0,1697.0,Providence,1,3
2013,South Carolina,4765862.0,9.0,6311.0,6978.0,10,263.0,241.0,5627.0,21704.0,Bradley (Callison),5,0
2013,South Carolina,4765862.0,0.0,6962.0,6587.0,8,288.0,168.0,9712.0,25637.0,Latta,1,3
2013,South Carolina,4765862.0,0.0,6962.0,6587.0,8,288.0,168.0,9712.0,25637.0,Chesterfield,1,4
2013,South Carolina,4765862.0,0.0,6228.0,4220.0,6,196.0,149.0,8982.0,21463.0,North Charleston,3,1
2013,South Carolina,4765862.0,0.0,9032.0,6161.0,4,262.0,292.0,10125.0,27599.0,Greenwood,1,4
2013,Tennessee,6490795.0,0.0,14814.0,13908.0,9,620.0,0.0,10865.0,40207.0,Memphis,1,4
2013,Tennessee,6490795.0,0.0,14814.0,13908.0,9,620.0,0.0,10865.0,40207.0,Crab Orchard,4,0
2013,Tennessee,6490795.0,0.0,14513.0,10657.0,6,639.0,0.0,10615.0,36424.0,Chattanooga,1,4
2013,Tennessee,6490795.0,0.0,14513.0,10657.0,6,639.0,0.0,10615.0,36424.0,Nashville,0,4
2013,Tennessee,6490795.0,0.0,16850.0,12546.0,5,690.0,0.0,12435.0,42521.0,Memphis,1,3
2013,Tennessee,6490795.0,0.0,16850.0,12546.0,5,690.0,0.0,12435.0,42521.0,Bean Station,2,2
2013,Tennessee,6490795.0,0.0,16850.0,12546.0,5,690.0,0.0,12435.0,42521.0,Memphis,2,2
2013,Tennessee,6490795.0,0.0,19072.0,14798.0,4,784.0,0.0,11113.0,45767.0,Jackson,2,2
2013,Tennessee,6490795.0,0.0,32630.0,23703.0,2,1341.0,0.0,13110.0,70784.0,Memphis,0,5
2013,Tennessee,6490795.0,0.0,34623.0,23963.0,1,1269.0,0.0,9601.0,69456.0,Chattanooga,1,3
2013,Texas,26479279.0,0.0,56566.0,78068.0,12,2861.0,2290.0,15969.0,166074.0,Channelview,0,5
2013,Texas,26479279.0,0.0,43195.0,57710.0,11,2556.0,1701.0,16185.0,133911.0,Houston,3,2
2013,Texas,26479279.0,0.0,43195.0,57710.0,11,2556.0,1701.0,16185.0,133911.0,Houston,1,3
2013,Texas,26479279.0,0.0,43195.0,57710.0,11,2556.0,1701.0,16185.0,133911.0,Cypress,2,16
2013,Texas,26479279.0,0.0,36720.0,44769.0,10,2387.0,1455.0,26877.0,124834.0,Beaumont,0,4
2013,Texas,26479279.0,0.0,36720.0,44769.0,10,2387.0,1455.0,26877.0,124834.0,Paris,4,0
2013,Texas,26479279.0,0.0,33690.0,45571.0,9,2128.0,1469.0,17342.0,111067.0,Rice,5,0
2013,Texas,26479279.0,0.0,38576.0,45538.0,8,2160.0,1583.0,18131.0,115380.0,Dallas,4,4
2013,Texas,26479279.0,0.0,35456.0,29941.0,7,1824.0,1487.0,21851.0,100819.0,Fort Worth,4,0
2013,Texas,26479279.0,0.0,34302.0,30708.0,6,1833.0,1566.0,19686.0,97420.0,Houston,1,3
